id,title,age,rating_cat,genre_cat,runtime,popularity,score,budget,budget_efficiency,director_age,director_experience,director_is_acclaimed,director_is_panned,director_efficiency,star_age,star_experience,star_is_acclaimed,star_is_panned,star_efficiency
1,The Shining,44,R,Drama,146.0,927000.0,8.4,19000000.0,2.4736195789473685,52.0,0,False,False,0.0,43.0,0,False,False,0.0
2,The Blue Lagoon,44,R,Adventure,104.0,65000.0,5.8,4500000.0,10.0,34.0,0,False,False,0.0,15.0,0,False,False,0.0
3,Star Wars: Episode V - The Empire Strikes Back,44,PG,Action,124.0,1200000.0,8.7,18000000.0,10.0,57.0,0,False,False,0.0,29.0,0,False,False,0.0
4,Airplane!,44,PG,Comedy,88.0,221000.0,7.7,3500000.0,10.0,36.0,0,False,False,0.0,33.0,0,False,False,0.0
5,Caddyshack,44,R,Comedy,98.0,108000.0,7.3,6000000.0,6.641057333333333,36.0,0,False,False,0.0,37.0,0,False,False,0.0
6,Friday the 13th,44,R,Horror,95.0,123000.0,6.4,550000.0,10.0,39.0,0,False,False,0.0,54.0,0,False,False,0.0
7,The Blues Brothers,44,R,Action,133.0,188000.0,7.9,27000000.0,4.267773703703703,30.0,0,False,False,0.0,31.0,0,False,False,0.0
8,Raging Bull,44,R,Biography,129.0,330000.0,8.2,18000000.0,1.3001348333333334,38.0,0,False,False,0.0,37.0,0,False,False,0.0
9,Superman II,44,PG,Action,127.0,101000.0,6.8,54000000.0,2.003439,48.0,0,False,False,0.0,50.0,0,False,False,0.0
10,The Long Riders,44,R,Biography,100.0,10000.0,7.0,10000000.0,1.5795189,38.0,0,False,False,0.0,44.0,0,False,False,0.0
11,Any Which Way You Can,44,PG,Action,116.0,18000.0,6.1,15000000.0,4.7124896,52.0,0,False,False,0.0,50.0,0,False,False,0.0
12,The Gods Must Be Crazy,44,PG,Adventure,109.0,54000.0,7.3,5000000.0,6.0063566,59.0,0,False,False,0.0,36.0,0,False,False,0.0
13,Popeye,44,PG,Adventure,114.0,30000.0,5.3,20000000.0,2.49115185,55.0,0,False,False,0.0,29.0,0,False,False,0.0
14,Ordinary People,44,R,Drama,124.0,49000.0,7.7,6000000.0,9.1278205,44.0,0,False,False,0.0,45.0,0,False,False,0.0
15,Dressed to Kill,44,R,Crime,104.0,37000.0,7.1,6500000.0,4.907538461538461,40.0,0,False,False,0.0,47.0,0,False,False,0.0
16,Somewhere in Time,44,PG,Drama,103.0,27000.0,7.2,5100000.0,1.9038425490196078,41.0,0,False,False,0.0,28.0,0,False,False,0.0
17,9 to 5,44,PG,Comedy,109.0,29000.0,6.9,10000000.0,10.0,39.0,0,False,False,0.0,43.0,0,False,False,0.0
18,The Fog,44,R,Horror,89.0,66000.0,6.8,1000000.0,10.0,32.0,0,False,False,0.0,35.0,0,False,False,0.0
19,Cruising,44,R,Crime,102.0,20000.0,6.5,11000000.0,1.8013202727272728,45.0,0,False,False,0.0,40.0,0,False,False,0.0
20,Heaven's Gate,44,R,Adventure,219.0,14000.0,6.8,44000000.0,0.07919370454545455,41.0,0,False,False,0.0,44.0,0,False,False,0.0
21,The Final Countdown,44,PG,Action,103.0,22000.0,6.7,12000000.0,1.3873166666666668,60.0,0,False,False,0.0,64.0,0,False,False,0.0
22,Xanadu,44,PG,Other,96.0,12000.0,5.3,20000000.0,1.13812855,35.0,0,False,False,0.0,32.0,0,False,False,0.0
23,Brubaker,44,R,Crime,131.0,17000.0,7.2,9000000.0,4.124634222222222,53.0,0,False,False,0.0,44.0,0,False,False,0.0
24,American Gigolo,44,R,Crime,117.0,22000.0,6.2,4800000.0,4.738265416666667,34.0,0,False,False,0.0,31.0,0,False,False,0.0
25,Cattle Annie and Little Britches,44,PG,Drama,97.0,604.0,6.1,5100000.0,0.10486588235294117,58.0,0,False,False,0.0,41.0,0,False,False,0.0
26,Private Benjamin,44,R,Comedy,109.0,24000.0,6.2,10000000.0,6.9847348,53.0,0,False,False,0.0,35.0,0,False,False,0.0
27,The Hollywood Knights,44,R,Comedy,91.0,4300.0,6.3,4000000.0,2.5,39.0,0,False,False,0.0,29.0,0,False,False,0.0
28,Motel Hell,44,R,Comedy,101.0,11000.0,6.0,3000000.0,2.1142226666666666,43.0,0,False,False,0.0,58.0,0,False,False,0.0
29,The Stunt Man,44,R,Action,131.0,9000.0,7.1,3500000.0,2.018253142857143,51.0,0,False,False,0.0,48.0,0,False,False,0.0
30,The Island,44,R,Action,109.0,3900.0,5.3,22000000.0,0.7144012727272727,42.0,0,False,False,0.0,47.0,0,False,False,0.0
31,The Nude Bomb,44,PG,Action,94.0,3100.0,5.1,15000000.0,0.977469,54.0,0,False,False,0.0,57.0,0,False,False,0.0
32,Stardust Memories,44,PG,Comedy,89.0,22000.0,7.3,10000000.0,1.0389003,45.0,0,False,False,0.0,45.0,0,False,False,0.0
33,Melvin and Howard,44,R,Comedy,95.0,4500.0,6.8,7000000.0,0.6156414285714286,36.0,0,False,False,0.0,35.0,0,False,False,0.0
34,Bronco Billy,44,PG,Action,116.0,11000.0,6.1,6500000.0,3.7331783076923077,50.0,0,False,False,0.0,50.0,0,False,False,0.0
35,When Time Ran Out...,44,PG,Action,121.0,2600.0,4.6,20000000.0,0.1881994,49.0,0,False,False,0.0,55.0,0,False,False,0.0
36,Oh Heavenly Dog,44,PG,Comedy,103.0,2400.0,5.4,6000000.0,1.0360111666666667,41.0,0,False,False,0.0,37.0,0,False,False,0.0
37,The Octagon,44,R,Action,103.0,5200.0,5.1,4000000.0,4.74275,34.0,0,False,False,0.0,40.0,0,False,False,0.0
38,The Last Flight of Noah's Ark,44,G,Adventure,97.0,1300.0,5.8,6000000.0,1.8333333333333333,53.0,0,False,False,0.0,42.0,0,False,False,0.0
